start,end,duration,round_epochs,accuracy,loss,val_accuracy,val_loss,units,hidden_activations,activation,loss,optimizer,batch_size
03/23/25-114958,03/23/25-115105,66.56741404533386,200,0.45320001244544983,2.093590021133423,0.2151000052690506,3.84515380859375,120,relu,sigmoid,categorical_crossentropy,adam,2000
03/23/25-115105,03/23/25-115223,77.28170490264893,200,0.10100000351667404,3.9400901794433594,0.09969999641180038,3.9669082164764404,120,relu,sigmoid,categorical_crossentropy,adagrad,1000
03/23/25-115223,03/23/25-115327,64.55247211456299,200,0.046875,4.338199138641357,0.04820000007748604,4.3395562171936035,120,relu,sigmoid,categorical_crossentropy,adagrad,2000
03/23/25-115328,03/23/25-115450,82.12163066864014,200,0.14497500658035278,0.009072191081941128,0.08820000290870667,0.009718084707856178,120,sigmoid,softmax,mse,adam,1000
03/23/25-115450,03/23/25-115558,68.22437739372253,200,0.1088000014424324,0.00943172536790371,0.08540000021457672,0.009631051681935787,120,sigmoid,softmax,mse,adam,2000
03/23/25-115559,03/23/25-115722,82.76631164550781,200,0.010099999606609344,0.009930286556482315,0.009600000455975533,0.009928992949426174,120,sigmoid,softmax,mse,adagrad,1000
03/23/25-115722,03/23/25-115833,70.90474319458008,200,0.010049999691545963,0.009959214366972446,0.009800000116229057,0.009957574307918549,120,sigmoid,softmax,mse,adagrad,2000
03/23/25-115833,03/23/25-115959,85.91602730751038,200,0.22450000047683716,3.053412675857544,0.11079999804496765,4.101698875427246,120,sigmoid,softmax,categorical_crossentropy,adam,1000
03/23/25-120000,03/23/25-120115,75.56663298606873,200,0.17652499675750732,3.290210247039795,0.10199999809265137,3.966503858566284,120,sigmoid,softmax,categorical_crossentropy,adam,2000
03/23/25-120116,03/23/25-120244,88.72508716583252,200,0.010449999943375587,4.6050214767456055,0.008200000040233135,4.606932640075684,120,sigmoid,softmax,categorical_crossentropy,adagrad,1000
03/23/25-120245,03/23/25-120358,73.730703830719,200,0.010449999943375587,4.6050872802734375,0.008200000040233135,4.607070446014404,120,sigmoid,softmax,categorical_crossentropy,adagrad,2000
03/23/25-120359,03/23/25-120527,88.06825160980225,200,0.009549999609589577,0.009900419972836971,0.00860000029206276,0.00990047212690115,120,sigmoid,sigmoid,mse,adam,1000
03/23/25-120527,03/23/25-120642,74.89713788032532,200,0.010449999943375587,0.009899995289742947,0.008200000040233135,0.00990036316215992,120,sigmoid,sigmoid,mse,adam,2000
03/23/25-120643,03/23/25-120808,85.19096851348877,200,0.009975000284612179,0.051877327263355255,0.010099999606609344,0.05173082277178764,120,sigmoid,sigmoid,mse,adagrad,1000
03/23/25-120808,03/23/25-120920,71.72794914245605,200,0.010224999859929085,0.10689347982406616,0.009100000374019146,0.10666212439537048,120,sigmoid,sigmoid,mse,adagrad,2000
03/23/25-120920,03/23/25-121050,89.17896366119385,200,0.23100000619888306,3.0618882179260254,0.10180000215768814,4.198357582092285,120,sigmoid,sigmoid,categorical_crossentropy,adam,1000
03/23/25-121050,03/23/25-121201,70.63141417503357,200,0.1762000024318695,3.2996270656585693,0.1062999963760376,3.9374277591705322,120,sigmoid,sigmoid,categorical_crossentropy,adam,2000
03/23/25-121201,03/23/25-121326,85.2048819065094,200,0.010449999943375587,4.6050333976745605,0.008200000040233135,4.606947898864746,120,sigmoid,sigmoid,categorical_crossentropy,adagrad,1000
03/23/25-121327,03/23/25-121439,72.5091438293457,200,0.010300000198185444,4.605069160461426,0.008799999952316284,4.606884956359863,120,sigmoid,sigmoid,categorical_crossentropy,adagrad,2000
03/23/25-121440,03/23/25-121648,128.0304627418518,200,0.7868499755859375,0.0024468295741826296,0.20180000364780426,0.011379099451005459,240,relu,softmax,mse,adam,1000
03/23/25-121648,03/23/25-121840,112.03023028373718,200,0.7488750219345093,0.0029796622693538666,0.20880000293254852,0.011244704015552998,240,relu,softmax,mse,adam,2000
03/23/25-121841,03/23/25-122044,123.65698575973511,200,0.009750000201165676,0.009904153645038605,0.009600000455975533,0.009904268197715282,240,relu,softmax,mse,adagrad,1000
03/23/25-122045,03/23/25-122232,107.03965330123901,200,0.009724999777972698,0.009902061894536018,0.009800000116229057,0.009902090765535831,240,relu,softmax,mse,adagrad,2000
03/23/25-122232,03/23/25-122446,134.1930615901947,200,0.8227249979972839,0.5592270493507385,0.19329999387264252,11.71338939666748,240,relu,softmax,categorical_crossentropy,adam,1000
03/23/25-122447,03/23/25-122639,111.56930375099182,200,0.9392499923706055,0.2612720727920532,0.1996999979019165,10.258096694946289,240,relu,softmax,categorical_crossentropy,adam,2000
03/23/25-122639,03/23/25-122843,124.29833364486694,200,0.12759999930858612,3.7748422622680664,0.12309999763965607,3.8149774074554443,240,relu,softmax,categorical_crossentropy,adagrad,1000
03/23/25-122844,03/23/25-123031,107.14517784118652,200,0.0851999968290329,4.062254905700684,0.08330000191926956,4.0720343589782715,240,relu,softmax,categorical_crossentropy,adagrad,2000
03/23/25-123031,03/23/25-123241,129.65597248077393,200,0.009600000455975533,0.009999998845160007,0.011300000362098217,0.009999998845160007,240,relu,sigmoid,mse,adam,1000
03/23/25-123242,03/23/25-123432,110.3162829875946,200,0.010324999690055847,0.009998218156397343,0.010099999606609344,0.009999258443713188,240,relu,sigmoid,mse,adam,2000
03/23/25-123432,03/23/25-123634,121.24725031852722,200,0.008674999698996544,0.010501970537006855,0.008799999952316284,0.010480556637048721,240,relu,sigmoid,mse,adagrad,1000
03/23/25-123634,03/23/25-123819,104.70269203186035,200,0.011599999852478504,0.011482997797429562,0.012299999594688416,0.011452419683337212,240,relu,sigmoid,mse,adagrad,2000
03/23/25-123819,03/23/25-124033,133.78287959098816,200,0.7999250292778015,0.013549708761274815,0.1527000069618225,14.557912826538086,240,relu,sigmoid,categorical_crossentropy,adam,1000
03/23/25-124034,03/23/25-124226,112.38499212265015,200,0.7250249981880188,0.37257716059684753,0.15029999613761902,10.07863998413086,240,relu,sigmoid,categorical_crossentropy,adam,2000
03/23/25-124227,03/23/25-124432,124.89463520050049,200,0.13072499632835388,3.779494524002075,0.1251000016927719,3.8148858547210693,240,relu,sigmoid,categorical_crossentropy,adagrad,1000
03/23/25-124432,03/23/25-124620,107.57626414299011,200,0.08082500100135803,4.101528167724609,0.07959999889135361,4.115265369415283,240,relu,sigmoid,categorical_crossentropy,adagrad,2000
03/23/25-124620,03/23/25-124848,147.25543332099915,200,0.22872500121593475,0.008417180739343166,0.11749999970197678,0.009679332375526428,240,sigmoid,softmax,mse,adam,1000
03/23/25-124848,03/23/25-125041,112.73928356170654,200,0.1332249939441681,0.00925496220588684,0.10000000149011612,0.009577966295182705,240,sigmoid,softmax,mse,adam,2000
03/23/25-125042,03/23/25-125248,126.30160355567932,200,0.010274999774992466,0.009931114502251148,0.008899999782443047,0.009931287728250027,240,sigmoid,softmax,mse,adagrad,1000
03/23/25-125249,03/23/25-125444,114.75820732116699,200,0.010125000029802322,0.009953388012945652,0.009499999694526196,0.009955281391739845,240,sigmoid,softmax,mse,adagrad,2000
03/23/25-125444,03/23/25-125708,143.43546199798584,200,0.35839998722076416,2.460400342941284,0.1437000036239624,4.281828880310059,240,sigmoid,softmax,categorical_crossentropy,adam,1000
03/23/25-125708,03/23/25-125910,122.08645343780518,200,0.2867000102996826,2.8040788173675537,0.1331000030040741,4.037319183349609,240,sigmoid,softmax,categorical_crossentropy,adam,2000
03/23/25-125911,03/23/25-130125,134.3296275138855,200,0.010449999943375587,4.605062007904053,0.008200000040233135,4.606924533843994,240,sigmoid,softmax,categorical_crossentropy,adagrad,1000
03/23/25-130126,03/23/25-130318,112.01354098320007,200,0.010449999943375587,4.6050310134887695,0.008200000040233135,4.606943130493164,240,sigmoid,softmax,categorical_crossentropy,adagrad,2000
03/23/25-130319,03/23/25-130530,130.97255206108093,200,0.009399999864399433,0.009901082143187523,0.009100000374019146,0.009900984354317188,240,sigmoid,sigmoid,mse,adam,1000
03/23/25-130530,03/23/25-130734,123.20664143562317,200,0.009549999609589577,0.009900043718516827,0.008899999782443047,0.009900357574224472,240,sigmoid,sigmoid,mse,adam,2000
03/23/25-130734,03/23/25-130937,123.11379051208496,200,0.009875000454485416,0.026509668678045273,0.010499999858438969,0.02645413763821125,240,sigmoid,sigmoid,mse,adagrad,1000
03/23/25-130938,03/23/25-131126,108.53783917427063,200,0.01002500019967556,0.060481492429971695,0.00989999994635582,0.060296062380075455,240,sigmoid,sigmoid,mse,adagrad,2000
03/23/25-131127,03/23/25-131344,136.7590835094452,200,0.3668749928474426,2.4172043800354004,0.13910000026226044,4.289187908172607,240,sigmoid,sigmoid,categorical_crossentropy,adam,1000
03/23/25-131345,03/23/25-131540,115.57979464530945,200,0.26635000109672546,2.8629791736602783,0.1354999989271164,3.996826648712158,240,sigmoid,sigmoid,categorical_crossentropy,adam,2000
03/23/25-131541,03/23/25-131749,128.12159895896912,200,0.010449999943375587,4.6050519943237305,0.008200000040233135,4.60691499710083,240,sigmoid,sigmoid,categorical_crossentropy,adagrad,1000
03/23/25-131750,03/23/25-131940,110.40352320671082,200,0.010449999943375587,4.605020046234131,0.008200000040233135,4.606928825378418,240,sigmoid,sigmoid,categorical_crossentropy,adagrad,2000
